,smiles,reactants,reaction_names,num_steps,hits,compound_set,batch
0,Cn1ncc(NC(=O)CC#N)c1NC(=O)C1CCCO1,"[('Cn1ncc(NC(=O)OC(C)(C)C)c1N', 'O=C(O)C1CCCO1'), 'Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)C1CCCO1', ('Cn1ncc(N)c1NC(=O)C1CCCO1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-1-1,0
1,N#CCC(=O)Nc1cccc(NC(=O)C2CCCO2)c1,"[('CC(C)(C)OC(=O)Nc1cccc(N)c1', 'O=C(O)C1CCCO1'), 'CC(C)(C)OC(=O)Nc1cccc(NC(=O)C2CCCO2)c1', ('Nc1cccc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-1,0
2,Cc1ccc(NC(=O)CC#N)cc1NC(=O)C1CCCO1,"[('CC(C)(C)OC(=O)Nc1cc(N)c(C)cc1', 'O=C(O)C1CCCO1'), 'Cc1ccc(NC(=O)OC(C)(C)C)cc1NC(=O)C1CCCO1', ('Cc1ccc(N)cc1NC(=O)C1CCCO1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-2,0
3,N#CCC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1,"[('Nc1cc(NC(=O)OC(C)(C)C)ccn1', 'O=C(O)C1CCCO1'), 'CC(C)(C)OC(=O)Nc1ccnc(NC(=O)C2CCCO2)c1', ('Nc1ccnc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-3,0
4,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'O=C(O)C1CCCO1'), 'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C', ('Cc1ccc(NC(=O)C2CCCO2)cc1N', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-4,0
5,Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'O=C(O)C1CCCO1'), 'Cc1ccc(NC(=O)C2CCCO2)cc1NC(=O)OC(C)(C)C', ('Cc1ccc(NC(=O)C2CCCO2)cc1N', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-5,0
6,N#CCC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'O=C(O)C1CCCO1'), 'CC(C)(C)OC(=O)Nc1cc(NC(=O)C2CCCO2)ccc1F', ('Nc1cc(NC(=O)C2CCCO2)ccc1F', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-6,0
7,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)C1CCCO1'), 'Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1', ('Cc1cc(N)cc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-7,0
8,Cc1cc(NC(=O)CC#N)cc(NC(=O)C2CCCO2)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1', 'O=C(O)C1CCCO1'), 'Cc1cc(NC(=O)OC(C)(C)C)cc(NC(=O)C2CCCO2)c1', ('Cc1cc(N)cc(NC(=O)C2CCCO2)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0416_A,x0310-x0416-merge-2-8,0
9,Cn1ncc(NC(=O)CC#N)c1NC(=O)CO,"[('Cn1ncc(NC(=O)OC(C)(C)C)c1N', 'O=C(O)CO'), 'Cn1ncc(NC(=O)OC(C)(C)C)c1NC(=O)CO', ('Cn1ncc(N)c1NC(=O)CO', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,x0310_A x0732_A,x0310-x0732-merge-1-1,0
